,CntName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
32,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22200,28080,21320,19600,18600,17800,21360,21600,25400,53600,40714,33798,47520,87996,103916,107572
33,Republic of Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6685,7172,0,0,0,0,0,0
34,Romania,0,0,0,0,0,0,0,0,0,0,193858,88320,62304,36892,34292,51350,43052,39890,35072,25188,29506,22659,18968,23417,29134,24235,30869,20829,605592,493252,395970,391102,340372,323510
35,Russian Federation,0,0,0,0,0,0,0,0,0,0,0,675497,673143,483028,337121,339600,288048,232987,213377,214963,145720,121166,106685,94018,79795,139596,108122,94027,39508,32458,33577,0,0,0
36,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,7355,154,213,222,572,1492,1236,1622,2022,2822,9554,13050,5568,6168,7140,9714,9506,8894,3726,4006,5540
37,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404,4038,13416,5212,7140,9622,14538,11734,16538,17210,27498,29886,24218,37576,31874,24048,28756,26768
38,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73210,128596,110184,136022,284592,454130,576864,760242,806754,818068,893212,1064606
39,Sweden,31066,29440,28381,25269,22825,22036,24495,20673,21461,21484,25196,24745,25726,29874,32661,33984,33884,38543,77036,71410,68182,64282,66018,70046,73172,76236,89816,90836,90588,78499,97743,102403,103562,101484
40,Switzerland,0,0,0,0,0,0,0,0,0,0,0,95816,108508,97433,92276,94228,98722,94906,94778,183608,90078,82235,78425,76756,159452,164180,176436,180350,86130,86036,96839,96494,207762,212392
41,The former Yugoslav Republic of Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,312,0,0,1338,2600,2216,480,1502,0,0,2580,2830,0
42,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198020,176154,151784,126932,91097,69693,59740,0,0,0,0,0,0,0
43,United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397868,490680,277563,251369,611862,627920,620778,656816,738940,635174,854414,736354,678612,701406,642434,633868
44,United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
